날짜,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2025-01-01,2.72697482,2.584,2.49802518,2.437776978,2.436467626,2.49457554,2.588719424,2.642805755,2.527496403,2.264377698,2.142226619,2.068532374,2.074399281,2.092428058,2.207838129,2.287964029,2.467316547,2.791478417,2.975097122,2.991960432,2.946014388,2.870521583,2.812370504,2.703305755
2025-01-02,2.542197842,2.399658273,2.33442446,2.293348921,2.293694245,2.360201439,2.50452518,2.75447482,2.946503597,2.873726619,2.763223022,2.623622302,2.45523741,2.4795,2.566266187,2.696399281,2.865629496,3.131302158,3.218809353,3.187942446,3.102830935,2.99178777,2.929906475,2.843503597
2025-01-03,2.675989209,2.540669065,2.467633094,2.415658273,2.423866906,2.491395683,2.65302518,2.893564748,3.005661871,2.912381295,2.748546763,2.649672662,2.560978417,2.531863309,2.556521583,2.68226259,2.912514388,3.243136691,3.361769784,3.330046763,3.255341727,3.173,3.102251799,3.010345324
2025-01-04,2.818744604,2.672748201,2.575874101,2.504258993,2.488845324,2.554053957,2.678122302,2.783622302,2.750615108,2.589982014,2.504003597,2.386661871,2.319643885,2.32568705,2.279798561,2.357809353,2.61476259,2.987676259,3.177093525,3.189420863,3.145946043,3.081967626,3.040147482,2.963751799
2025-01-05,2.748758993,2.584453237,2.478323741,2.425568345,2.414913669,2.454683453,2.496669065,2.571906475,2.667,2.769100719,2.65621223,2.588341727,2.535528777,2.558482014,2.649384892,2.788528777,2.865776978,2.987169065,3.058226619,3.018154676,2.938064748,2.8345,2.763838129,2.704273381
2025-01-06,2.527467626,2.408456835,2.376276978,2.370510791,2.386381295,2.436410072,2.53347482,2.776280576,2.985136691,3.020967626,2.993726619,2.956316547,2.892370504,2.771248201,2.791802158,2.917208633,3.090705036,3.347125899,3.401,3.352032374,3.261143885,3.138791367,3.067694245,2.968402878
2025-01-07,2.786543165,2.646431655,2.5525,2.509176259,2.530438849,2.606982014,2.75218705,3.001956835,3.242388489,3.18068705,2.992435252,2.839841727,2.768478417,2.918363309,3.030482014,3.151600719,3.324856115,3.452284173,3.447604317,3.38992446,3.266902878,3.140827338,3.058917266,2.958629496
2025-01-08,2.804276978,2.658701439,2.542348921,2.513579137,2.498399281,2.552589928,2.691715827,2.926784173,3.179273381,3.138705036,3.01992446,3.051942446,3.027802158,3.108834532,3.095251799,3.100043165,3.165035971,3.382,3.410769784,3.357874101,3.262010791,3.136514388,3.071528777,2.99102518
2025-01-09,2.8565,2.733284173,2.661510791,2.618651079,2.646694245,2.731136691,2.892428058,3.128848921,3.395442446,3.338665468,3.146151079,3.080410072,2.98,3.143061151,3.343636691,3.514,3.66794964,3.765755396,3.772302158,3.711510791,3.595107914,3.441776978,3.357946043,3.284453237
2025-01-10,3.096791367,2.933521583,2.830125899,2.774032374,2.764690647,2.825082734,2.9705,3.191834532,3.477179856,3.583931655,3.551726619,3.358280576,3.148708633,3.164053957,3.123201439,3.225201439,3.37826259,3.606654676,3.632913669,3.561320144,3.437715827,3.303989209,3.229694245,3.16031295
2025-01-11,2.98,2.818802158,2.727848921,2.665845324,2.682039568,2.747597122,2.858809353,2.975154676,3.056730216,2.935920863,2.870471223,2.803838129,2.704956835,2.806251799,2.856679856,2.975895683,3.197219424,3.383359712,3.472902878,3.440467626,3.366446043,3.251669065,3.184946043,3.120705036
2025-01-12,2.978284173,2.865528777,2.756622302,2.697856115,2.714111511,2.758053957,2.810931655,2.916165468,2.940507194,2.695604317,2.553600719,2.426395683,2.386989209,2.512715827,2.518374101,2.57318705,2.842316547,3.217866906,3.384327338,3.381719424,3.289856115,3.166446043,3.104151079,3.043622302
2025-01-13,2.862205036,2.803960432,2.712769784,2.645561151,2.671726619,2.759946043,2.943039568,3.149913669,3.272489209,3.015564748,2.873510791,2.81076259,2.703179856,2.643230216,2.658517986,2.734093525,2.92344964,3.270107914,3.496104317,3.5295,3.478733813,3.379129496,3.299748201,3.20126259
2025-01-14,2.991672662,2.803683453,2.677111511,2.631751799,2.620539568,2.699888489,2.836892086,3.022543165,3.150489209,2.952244604,2.784852518,2.683136691,2.537809353,2.483730216,2.525733813,2.603154676,2.765053957,3.043046763,3.25455036,3.292111511,3.201888489,3.034039568,2.95352518,2.865521583
2025-01-15,2.731417266,2.61102518,2.527197842,2.470021583,2.498064748,2.590496403,2.759043165,3.001514388,3.247791367,3.352392086,3.297503597,3.218579137,3.157892086,3.182395683,3.1375,3.152327338,3.316395683,3.579521583,3.63618705,3.585946043,3.483205036,3.344546763,3.231888489,3.139535971
2025-01-16,2.948107914,2.796151079,2.708823741,2.675953237,2.680003597,2.741377698,2.879636691,3.067053957,3.335345324,3.380089928,3.286219424,3.092953237,2.879956835,2.959158273,2.853517986,2.720593525,3.100478417,3.414226619,3.530179856,3.503010791,3.415643885,3.294061151,3.236701439,3.156241007
2025-01-17,2.984359712,2.848223022,2.742672662,2.668982014,2.657528777,2.734366906,2.868323741,3.057435252,3.285302158,3.297320144,3.134154676,2.911176259,2.737766187,2.67873741,2.583856115,2.657543165,2.89657554,3.203967626,3.434395683,3.473874101,3.44305036,3.36657554,3.315690647,3.251068345
2025-01-18,3.064665468,2.928643885,2.835133094,2.774964029,2.782007194,2.848133094,2.955989209,3.058017986,2.954694245,2.691669065,2.589028777,2.438989209,2.374820144,2.41631295,2.385535971,2.446888489,2.621381295,2.902363309,3.175100719,3.250661871,3.260043165,3.202928058,3.154093525,3.116298561
2025-01-19,2.96402518,2.838478417,2.733028777,2.68276259,2.674079137,2.693316547,2.793910072,2.890748201,2.757071942,2.367816547,2.249521583,2.187089928,2.144100719,2.184820144,2.256348921,2.334917266,2.457316547,2.763320144,3.105586331,3.186888489,3.165553957,3.116241007,3.087913669,3.017730216
2025-01-20,2.843384892,2.703485612,2.620136691,2.584291367,2.600604317,2.677982014,2.818827338,3.032546763,3.117082734,2.881751799,2.716539568,2.561107914,2.461917266,2.503697842,2.543964029,2.680402878,2.887302158,3.199895683,3.365989209,3.376881295,3.314046763,3.223258993,3.172665468,3.076039568
2025-01-21,2.883309353,2.762503597,2.680309353,2.653172662,2.649248201,2.721586331,2.887913669,3.106118705,3.125039568,2.823978417,2.637805755,2.487593525,2.360197842,2.384726619,2.417654676,2.49221223,2.696017986,3.032294964,3.309201439,3.3525,3.314769784,3.230816547,3.188093525,3.12081295
2025-01-22,2.944496403,2.808352518,2.722154676,2.684910072,2.683665468,2.743902878,2.900276978,3.09855036,3.151784173,2.875143885,2.842507194,2.707733813,2.624143885,2.53176259,2.518374101,2.622597122,2.764881295,3.010866906,3.197942446,3.237104317,3.201273381,3.11542446,3.063251799,3.002482014
2025-01-23,2.793428058,2.678082734,2.60326259,2.58528777,2.593719424,2.661773381,2.807625899,3.007629496,3.057874101,2.740100719,2.553730216,2.439798561,2.349888489,2.359931655,2.422079137,2.495651079,2.670089928,2.940996403,3.17773741,3.21976259,3.1665,3.09092446,3.055456835,2.966564748
2025-01-24,2.758823741,2.600996403,2.519125899,2.482910072,2.5245,2.620266187,2.780647482,2.955089928,3.034273381,2.816338129,2.672611511,2.553089928,2.457874101,2.466834532,2.50931295,2.588302158,2.696089928,2.853579137,3.060428058,3.119514388,3.081802158,3.010953237,2.975359712,2.904726619
2025-01-25,2.741510791,2.606140288,2.517773381,2.440618705,2.44323741,2.495618705,2.624877698,2.753633094,2.679877698,2.355618705,2.245503597,2.214320144,2.250636691,2.413697842,2.479482014,2.511935252,2.687679856,2.905172662,3.06768705,3.074780576,3.04352518,2.985269784,2.908780576,2.89168705
2025-01-26,2.734179856,2.594776978,2.52444964,2.47431295,2.492345324,2.55942446,2.653061151,2.706607914,2.681755396,2.581672662,2.543532374,2.545158273,2.471309353,2.419226619,2.523151079,2.60023741,2.710053957,2.924928058,3.06997482,3.08221223,3.005071942,2.924352518,2.875766187,2.804791367
2025-01-27,2.656899281,2.524884892,2.427503597,2.403532374,2.438453237,2.501496403,2.596435252,2.681784173,2.838230216,2.813136691,2.816226619,2.741654676,2.618136691,2.557089928,2.612007194,2.694223022,2.908848921,3.165176259,3.354431655,3.375302158,3.287640288,3.19418705,3.158431655,3.083021583
2025-01-28,2.938830935,2.805453237,2.707946043,2.667197842,2.667309353,2.713755396,2.787294964,2.873197842,2.976726619,2.930679856,2.852507194,2.740205036,2.684172662,2.570183453,2.693561151,2.766521583,2.914651079,3.160453237,3.326305755,3.317251799,3.266906475,3.182953237,3.120456835,3.059320144
2025-01-29,2.894014388,2.761503597,2.655859712,2.594035971,2.595611511,2.654251799,2.773661871,2.896773381,2.805931655,2.476503597,2.288640288,2.182302158,2.183359712,2.15505036,2.208384892,2.236766187,2.425179856,2.739669065,3.028294964,3.099021583,3.10894964,3.108233813,3.122003597,3.105683453
2025-01-30,3.018334532,2.904363309,2.825017986,2.797881295,2.800244604,2.827057554,2.898611511,2.961946043,2.722043165,2.285841727,2.16907554,2.111906475,2.049316547,2.001863309,2.095640288,2.168251799,2.362938849,2.705359712,3.123553957,3.24728777,3.247111511,3.190053957,3.156967626,3.091233813
2025-01-31,2.920600719,2.727291367,2.555356115,2.497992806,2.491920863,2.560517986,2.655517986,2.810359712,2.990805755,3.158413669,2.924370504,2.656669065,2.617395683,2.649561151,2.755345324,2.853902878,2.976708633,3.076507194,3.137485612,3.116428058,3.040345324,2.921111511,2.866517986,2.785151079
